Total results: 86

Score    Category                  Title
------------------------------------------------------------------------------------------
0.490    Laptop Bags               Peak Design Everyday Backpack 20L
0.488    Laptop Bags               SwissGear 3760 ScanSmart Laptop Backpack
0.476    Laptop Bags               Knomo Beauchamp 15.6" Laptop Backpack
0.473    Laptop Bags               Amazon Basics 17.3-Inch Laptop Bag
0.471    Laptop Bags               Briggs & Riley @Work Medium Backpack
0.464    Laptop Bags               Samsonite Classic Business Backpack
0.463    Laptop Bags               Tumi Alpha Bravo Search Backpack
0.457    Mechanical Keyboards      Akko 5075B Plus Wireless Keyboard
0.454    Laptop Bags               Targus 15.6" Drifter Backpack
0.450    Laptop Bags               Osprey Arcane Large Day Backpack
0.447    Mechanical Keyboards      Logitech MX Mechanical Mini Wireless
0.441    Desk Lamps                BenQ ScreenBar Halo Monitor Light
0.441    Wireless Headphones       Sony WH-1000XM5 Noise Cancelling Headphones
0.441    Coffee Makers             Breville Barista Express Espresso Machine
0.435    Mechanical Keyboards      HHKB Professional Hybrid Type-S
0.434    Desk Lamps                TaoTronics LED Desk Lamp with USB Charging
0.432    Desk Lamps                VIVO LED Desk Lamp with Clamp
0.430    Mechanical Keyboards      NuPhy Air75 V2 Wireless Keyboard
0.430    Wireless Headphones       Jabra Evolve2 85 Professional Headset
0.429    Mechanical Keyboards      Das Keyboard 4 Professional Cherry MX Blue
0.429    Mechanical Keyboards      Ducky One 3 TKL Hot-Swap RGB
0.428    Wireless Headphones       Bose QuietComfort 45 Bluetooth Headphones
0.427    Mechanical Keyboards      Keychron Q1 Pro QMK Wireless Keyboard
0.426    Desk Lamps                Dyson Lightcycle Morph Task Light
0.426    Desk Lamps                Anker Eufy Lumos Smart Bulb White
0.425    Coffee Makers             OXO Brew 9-Cup Coffee Maker
0.425    Coffee Makers             De'Longhi Magnifica Evo Automatic Espresso
0.422    Wireless Headphones       Apple AirPods Max Space Gray
0.421    Smart Watches             Samsung Galaxy Watch6 Classic 47mm
0.420    Coffee Makers             Cuisinart DCC-3200P1 PerfecTemp 14-Cup Coffee Make
0.419    Smart Watches             Apple Watch Series 9 GPS 45mm
0.419    Mechanical Keyboards      Razer BlackWidow V4 Pro Wireless
0.418    Wireless Headphones       Audio-Technica ATH-M50xBT2 Wireless
0.417    Wireless Headphones       Anker Soundcore Q45 Headphones
0.416    Wireless Headphones       Beats Studio Pro Wireless Headphones
0.416    Wireless Headphones       Sennheiser Momentum 4 Wireless
